key,instruction_raw,instruction_uni,level_id,sample_id,reward_enum,feature_name,sub_condition,condition_0,condition_1,condition_2,condition_3,condition_4
pk000018,The region is marginal and sparse.,The passable area is marginal and sparse.,000018,pokemon_0020,0,region,,1.0,,,,
pk000019,The region is filled with trees.,The passable region is extensive.,000019,pokemon_0021,0,region,,10.0,,,,
pk000020,The region is marginally varied with a few houses.,The passable area is marginally varied with a few interactive tiles.,000020,pokemon_0022,0,region,,1.0,,,,
pk000021,The region is limited to a few houses and objects.,The passable region is limited and broken by walls.,000021,pokemon_0024,0,region,,2.0,,,,
pk000022,The region has a little enemy activity.,The passable region has a few hazards.,000022,pokemon_0025,0,region,,2.0,,,,
pk000023,Objects are rare in this region.,Passable tiles are rare in this region.,000023,pokemon_0026,0,region,,1.0,,,,
pk000024,The region is sparse with few houses and objects.,The passable area is sparse with little variation.,000024,pokemon_0027,0,region,,1.0,,,,
pk000025,The map has a marginal region with scattered grass and trees.,The map has a marginal passable area with scattered walls.,000025,pokemon_0028,0,region,,1.0,,,,
pk000026,The region has a marginal number of houses.,The passable area has a marginal amount of walls.,000026,pokemon_0029,0,region,,1.0,,,,
pk000027,The region has many grass and trees.,The region has much passable area.,000027,pokemon_0030,0,region,,3.0,,,,
pk000028,The region is crowded with houses and objects.,The passable area is crowded with interactives.,000028,pokemon_0031,0,region,,4.0,,,,
pk000029,The region has only a few objects.,The passable area has only a few collectables.,000029,pokemon_0032,0,region,,1.0,,,,
pk000030,The region is scattered with enemies.,The passable region is scattered with hazards.,000030,pokemon_0033,0,region,,3.0,,,,
pk000031,The region has marginal enemies and objects.,The region has marginal interactive and collectable areas.,000031,pokemon_0034,0,region,,1.0,,,,
pk000032,Sparse houses and objects mark the region.,Sparse passable area marks the region.,000032,pokemon_0035,0,region,,1.0,,,,
pk000033,The region has rare trees.,The region has sparse passable areas.,000033,pokemon_0036,0,region,,1.0,,,,
pk000034,The region is abundant with enemies.,The passable region is abundant with hazards.,000034,pokemon_0037,0,region,,8.0,,,,
pk000035,The region is mostly grass with rare trees and houses.,The passable region is sparse and widely open.,000035,pokemon_0038,0,region,,1.0,,,,
pk000036,Few houses and trees are scattered here.,Few passable areas are scattered here.,000036,pokemon_0039,0,region,,1.0,,,,
pk000037,The region has some fences and houses.,The region has some passable areas and a few walls.,000037,pokemon_0040,0,region,,2.0,,,,
pk000038,Enemy regions are rare here.,Passable area is mostly open with rare walls.,000038,pokemon_0041,0,region,,1.0,,,,
pk000039,The region is marginal with a few floor tiles.,The passable area is marginal with few tiles.,000039,pokemon_0042,0,region,,1.0,,,,
pk000040,The region is overrun with grass and trees.,The passable area dominates the region.,000040,pokemon_0043,0,region,,6.0,,,,
pk000041,The region has a few enemies scattered around.,The passable area is broken by moderate wall barriers.,000041,pokemon_0044,0,region,,3.0,,,,
pk000042,The region is overrun with houses.,The passable area is densely packed with walls.,000042,pokemon_0045,0,region,,10.0,,,,
pk000043,The region is nearly empty.,The passable region is nearly empty.,000043,pokemon_0046,0,region,,1.0,,,,
pk000044,A sparse region with few houses.,A sparse region with few walkable areas.,000044,pokemon_0047,0,region,,1.0,,,,
pk000045,The region is filled with water and trees.,The region is filled with passable areas.,000045,pokemon_0048,0,region,,5.0,,,,
pk000046,"The region is abundant with grass, trees, and houses.",The passable area is abundant throughout the map.,000046,pokemon_0049,0,region,,6.0,,,,
pk000047,The region is marginally small.,The passable area is marginally small.,000047,pokemon_0050,0,region,,1.0,,,,
pk000048,The region is sparse with a few objects.,The passable area is marginal with few interactives.,000048,pokemon_0051,0,region,,1.0,,,,
pk000049,"The region is dense with water, trees, and objects.",The passable area is dense and fairly clustered.,000049,pokemon_0052,0,region,,3.0,,,,
pk000050,The region has a few scattered objects and houses.,The passable area is slight and centered.,000050,pokemon_0053,0,region,,2.0,,,,
pk000051,The region has rare buildings and empty land.,The region has rare passable areas and walls.,000051,pokemon_0054,0,region,,0.0,,,,
pk000052,Grass regions are rare here.,Passable areas are rare here.,000052,pokemon_0055,0,region,,1.0,,,,
pk000053,"The region has a slight mix of houses, water, and fences.",The passable area has a slight mix of wall fragments.,000053,pokemon_0056,0,region,,2.0,,,,
pk000054,"The region has many paths, water, and houses.",The region has many paths with scattered walls.,000054,pokemon_0057,0,region,,8.0,,,,
pk000055,The region is filled with trees.,The passable area is filled with walls.,000055,pokemon_0058,0,region,,5.0,,,,
pk000056,"The region is plentiful with enemies, houses, and objects.",The region is packed with interactive and collectable areas.,000056,pokemon_0060,0,region,,8.0,,,,
pk000057,The region is sparse with few paths.,The passable area is sparse.,000057,pokemon_0061,0,region,,1.0,,,,
pk000058,A few houses mark this quiet region.,The passable area is sparse in this region.,000058,pokemon_0062,0,region,,1.0,,,,
pk000059,The region has sparse houses and few fences.,The passable area has sparse features.,000059,pokemon_0063,0,region,,1.0,,,,
pk000060,The region has several enemies and objects.,The region has several interactive and collectable tiles.,000060,pokemon_0064,0,region,,3.0,,,,
pk000061,The region has only a few enemies.,The passable area has only a few hazards.,000061,pokemon_0065,0,region,,1.0,,,,
pk000062,The region is moderately packed with enemies.,The passable area is moderately packed with interactive features.,000062,pokemon_0066,0,region,,3.0,,,,
pk000063,"The region has a decent mix of grass, floor, and objects.",The region has a decent amount of passable area and wall.,000063,pokemon_0067,0,region,,4.0,,,,
pk000064,The region has few enemies.,The passable area has few hazards.,000064,pokemon_0068,0,region,,1.0,,,,
pk000065,The region has few houses and objects.,The passable area is sparse with few hazards.,000065,pokemon_0069,0,region,,1.0,,,,
pk000066,Regions are rare here.,Passable areas are rare here.,000066,pokemon_0070,0,region,,1.0,,,,
pk000067,Few enemies appear in the region.,Few interactive tiles appear in the passable area.,000067,pokemon_0071,0,region,,1.0,,,,
pk000068,The grass region has slight tree coverage.,The passable area has slight wall coverage.,000068,pokemon_0073,0,region,,2.0,,,,
pk000069,Enemies are rare in this region.,Walkable area is rare in this region.,000069,pokemon_0074,0,region,,1.0,,,,
pk000070,The region has rare houses and objects.,The passable area has rare interactives and collectables.,000070,pokemon_0075,0,region,,1.0,,,,
pk000071,The region has a few enemies.,The passable area has few hazards.,000071,pokemon_0076,0,region,,1.0,,,,
pk000072,The region is vast and highly fragmented by fences and buildings.,The passable area is vast and highly fragmented by walls.,000072,pokemon_0077,0,region,,5.0,,,,
pk000073,The region has one enemy and little else.,The passable area has one hazard and little else.,000073,pokemon_0078,0,region,,1.0,,,,
pk000074,Enemy is rare in this region.,Hazards are rare in this region.,000074,pokemon_0079,0,region,,1.0,,,,
pk000075,The region is sparse and mostly open.,The passable area is sparse and mostly open.,000075,pokemon_0080,0,region,,1.0,,,,
pk000076,The region has rare houses.,The passable area is sparse.,000076,pokemon_0081,0,region,,1.0,,,,
pk000077,The region has rare objects and enemies.,The region has rare interactive and hazard tiles.,000077,pokemon_0082,0,region,,1.0,,,,
pk000078,The region has moderate enemies.,The region has moderate hazards.,000078,pokemon_0083,0,region,,3.0,,,,
pk000079,"A marginal region of grass, trees, water, and houses.",A marginal region of passable space with few walls.,000079,pokemon_0084,0,region,,1.0,,,,
pk000080,The region has rare enemies and objects.,The passable area has rare interactive and collectable tiles.,000080,pokemon_0085,0,region,,1.0,,,,
pk000081,The region is expansive and open.,The passable area is expansive and open.,000081,pokemon_0086,0,region,,5.0,,,,
pk000082,The region is mostly open with rare enemies.,The passable area is mostly open with rare hazards.,000082,pokemon_0087,0,region,,1.0,,,,
pk000083,The region has few houses and trees.,The passable region is sparse and open.,000083,pokemon_0089,0,region,,1.0,,,,
pk000084,Enemies are sparse across the region.,Interactive tiles are sparse in the passable area.,000084,pokemon_0090,0,region,,1.0,,,,
pk000085,The region is sparse with enemies and a few houses.,The region is sparse with hazards and a few walls.,000085,pokemon_0092,0,region,,1.0,,,,
pk000086,The region is mostly grassy with some water.,The passable area is mostly open with some walls.,000086,pokemon_0093,0,region,,4.0,,,,
pk000087,The region is dense with grass and trees.,The passable area is dense and broken by walls.,000087,pokemon_0094,0,region,,3.0,,,,
pk000088,The region is marked by rare objects and enemies.,The passable region is sparse with collectables and hazards.,000088,pokemon_0095,0,region,,1.0,,,,
pk000089,Regions are rare here.,Passable area is rare here.,000089,pokemon_0096,0,region,,1.0,,,,
pk000090,Some regions are scattered across the map.,Some passable regions are scattered across the map.,000090,pokemon_0097,0,region,,2.0,,,,
pk000091,The region has some floors and trees with a few enemies.,The region has some passable areas with a few hazards.,000091,pokemon_0098,0,region,,2.0,,,,
pk000092,The region has a few scattered trees and houses.,The region has a few scattered passable areas.,000092,pokemon_0099,0,region,,2.0,,,,
pk000093,A marginal region with few houses and objects.,A marginal region with mostly passable tiles and few walls.,000093,pokemon_0101,0,region,,1.0,,,,
pk000094,The region has a marginal number of features.,The passable area is marginal.,000094,pokemon_0102,0,region,,1.0,,,,
pk000095,The region has rare enemies.,The region has scarce hazards.,000095,pokemon_0103,0,region,,1.0,,,,
pk000096,The region has many grass tiles and some trees.,The passable area is quite large and mostly open.,000096,pokemon_0104,0,region,,4.0,,,,
pk000097,A limited region with sparse houses and water.,A limited region with sparse passable areas.,000097,pokemon_0105,0,region,,2.0,,,,
pk000098,Some regions are marked by enemy and fence tiles.,Some passable regions are broken up by walls.,000098,pokemon_0106,0,region,,2.0,,,,
pk000099,The region has few houses.,The passable area is sparse.,000099,pokemon_0107,0,region,,1.0,,,,
pk000100,The region has slight variation.,The passable area has slight variation.,000100,pokemon_0108,0,region,,2.0,,,,
pk000101,"The region has a reasonable mix of houses, trees, water, and enemies.",The passable region has a reasonable amount of wall fragmentation.,000101,pokemon_0109,0,region,,4.0,,,,
pk000102,Region tiles are sparse here.,Passable area is sparse here.,000102,pokemon_0110,0,region,,1.0,,,,
pk000103,Objects are rare in this region.,Interactive tiles are rare in this region.,000103,pokemon_0111,0,region,,1.0,,,,
pk000104,The region is scattered with enemies.,The passable area is scattered with walls.,000104,pokemon_0112,0,region,,3.0,,,,
pk000105,The region has sparse enemies.,The passable region is sparse.,000105,pokemon_0113,0,region,,1.0,,,,
pk000106,The region has few enemies.,The passable area has few hazards.,000106,pokemon_0114,0,region,,1.0,,,,
pk000107,The region has only a few fences.,The region has only a few walls.,000107,pokemon_0115,0,region,,1.0,,,,
pk000108,The region has slight variation in grass and houses.,The region has slight variation in passable areas.,000108,pokemon_0116,0,region,,2.0,,,,
pk000109,The region is mostly open grass.,The passable area is mostly open.,000109,pokemon_0117,0,region,,1.0,,,,
pk000110,A marginal region with a few houses and grass.,A marginal passable area with little structure.,000110,pokemon_0118,0,region,,1.0,,,,
pk000111,The region is busy with houses and enemies.,The region is crowded with passable areas.,000111,pokemon_0119,0,region,,3.0,,,,
pk000112,The region is marginal and mostly grassy.,The passable area is marginal and mostly open.,000112,pokemon_0120,0,region,,1.0,,,,
pk000113,A rare few objects mark the region.,A rare few interactives mark the region.,000113,pokemon_0121,0,region,,1.0,,,,
pk000114,House tiles are rare here.,Passable tiles are rare here.,000114,pokemon_0122,0,region,,1.0,,,,
pk000115,Few enemies appear in this region.,Few hazard tiles appear in this region.,000115,pokemon_0123,0,region,,1.0,,,,
pk000116,The region is bordered by many trees and fences.,The area is bordered by many walls and passable tiles.,000116,pokemon_0124,0,region,,7.0,,,,
pk000117,Slight region shifts appear across the map.,Slight passable region shifts appear across the map.,000117,pokemon_0125,0,region,,2.0,,,,
pk000118,The region has sparse objects.,The passable area is sparse.,000118,pokemon_0126,0,region,,1.0,,,,
pk000119,The region has some enemies.,The passable area has some hazards.,000119,pokemon_0127,0,region,,2.0,,,,
pk000120,"The region is plentiful with houses, fences, and trees.",The passable region is plentiful across the map.,000120,pokemon_0128,0,region,,6.0,,,,
pk000121,The region is marginal.,The passable area is marginal.,000121,pokemon_0129,0,region,,1.0,,,,
pk000122,The region is sparsely filled with grass and trees.,The passable area is slightly broken by walls.,000122,pokemon_0130,0,region,,2.0,,,,
pk000123,The region has little water.,The passable area has little wall.,000123,pokemon_0131,0,region,,2.0,,,,
pk000124,The region is crowded with houses.,The region is crowded with passable areas.,000124,pokemon_0132,0,region,,5.0,,,,
pk000125,A few trees and a house are scattered here.,A few wall patches break up the passable area.,000125,pokemon_0133,0,region,,1.0,,,,
pk000126,The region is heavily populated with enemies and houses.,The passable area is crowded with interactive tiles.,000126,pokemon_0134,0,region,,4.0,,,,
pk000127,The region has sparse houses and trees.,The passable region is sparse.,000127,pokemon_0135,0,region,,1.0,,,,
pk000128,A sparse region with few enemies.,A sparse region with few interactive tiles.,000128,pokemon_0136,0,region,,1.0,,,,
pk000129,The region has few houses and objects.,The region has few interactive tiles.,000129,pokemon_0137,0,region,,1.0,,,,
pk000130,The region has a marginal patch of grass.,The passable area is marginal.,000130,pokemon_0138,0,region,,1.0,,,,
pk000131,Grass regions are sparse here.,Passable area is sparse here.,000131,pokemon_0139,0,region,,1.0,,,,
pk000132,A single region lies centered in the grass.,A single passable region lies centered in the area.,000132,pokemon_0140,0,region,,1.0,,,,
pk000133,The region has plentiful grass and a few houses.,The region has plentiful passable area with some walls.,000133,pokemon_0141,0,region,,5.0,,,,
pk000134,The region is mostly open with rare trees and enemies.,The passable region is mostly open with rare hazards and walls.,000134,pokemon_0142,0,region,,1.0,,,,
pk000135,The region is sparse and marginal.,The passable region is sparse and marginal.,000135,pokemon_0143,0,region,,1.0,,,,
pk000136,Enemy encounters are rare in this region.,Passable area is mostly clear in this region.,000136,pokemon_0144,0,region,,1.0,,,,
pk000137,The region has few houses.,The passable area is sparse.,000137,pokemon_0145,0,region,,1.0,,,,
pk000138,Region features are rare here.,Passable areas are rare here.,000138,pokemon_0146,0,region,,1.0,,,,
pk000139,The region is filled with many enemies.,The area is filled with many hazards.,000139,pokemon_0147,0,region,,5.0,,,,
pk000140,The region is sparse.,The passable area is sparse.,000140,pokemon_0148,0,region,,1.0,,,,
pk000141,Some houses are scattered across the region.,Some passable areas are scattered across the region.,000141,pokemon_0149,0,region,,2.0,,,,
pk000142,The region is sparse with enemies.,The region is sparse with passable area.,000142,pokemon_0150,0,region,,1.0,,,,
pk000143,The region is densely packed with enemy-filled areas.,The region is densely packed with passable areas.,000143,pokemon_0151,0,region,,9.0,,,,
pk000144,The region has rare houses and objects.,The passable area is sparse and scattered.,000144,pokemon_0152,0,region,,1.0,,,,
pk000145,The region is scattered with houses and objects.,The region is scattered with interactive tiles.,000145,pokemon_0153,0,region,,3.0,,,,
pk000146,Region features are rare here.,Walkable regions are rare here.,000146,pokemon_0154,0,region,,1.0,,,,
pk000147,The region is mostly open with a small town cluster.,The passable area is mostly open with a small wall cluster.,000147,pokemon_0155,0,region,,1.0,,,,
pk000148,The region has a decent number of houses.,The passable area has a decent number of walls.,000148,pokemon_0156,0,region,,3.0,,,,
pk000149,The region has marginal trees.,The passable area is marginal.,000149,pokemon_0157,0,region,,1.0,,,,
pk000150,The region is overrun by enemies.,The area is overrun by interactive tiles.,000150,pokemon_0158,0,region,,6.0,,,,
pk000151,The region is marginal.,The passable area is marginal.,000151,pokemon_0159,0,region,,1.0,,,,
pk000152,The region is sparse.,The passable area is sparse.,000152,pokemon_0160,0,region,,1.0,,,,
pk000153,The region is sparse.,The passable area is sparse.,000153,pokemon_0161,0,region,,1.0,,,,
pk000154,The region has slight enemy presence.,The region has slight hazard presence.,000154,pokemon_0162,0,region,,2.0,,,,
pk000155,This region is dominated by trees and grass.,This region is dominated by passable area.,000155,pokemon_0163,0,region,,5.0,,,,
pk000156,The region has few enemies.,The passable area has few hazards.,000156,pokemon_0164,0,region,,1.0,,,,
pk000157,A slight region surrounds the central area.,A slight region surrounds the passable area.,000157,pokemon_0165,0,region,,2.0,,,,
pk000158,Few houses dot the region.,Few passable areas break the walls.,000158,pokemon_0166,0,region,,1.0,,,,
pk000159,A reasonable region of grass and floor.,A reasonable amount of passable area fills the region.,000159,pokemon_0167,0,region,,4.0,,,,
pk000160,The region has scattered enemies and objects.,The passable area has scattered hazards and collectables.,000160,pokemon_0168,0,region,,3.0,,,,
pk000161,"The region is marginal, with only a few objects.","The region is marginal, with sparse passable area.",000161,pokemon_0169,0,region,,1.0,,,,
pk000162,Some houses appear across the region.,Some passable areas appear across the region.,000162,pokemon_0170,0,region,,2.0,,,,
pk000163,The region is sparse with a few water tiles.,The region is sparse with a few passable areas.,000163,pokemon_0171,0,region,,1.0,,,,
pk000164,The region is mostly empty with a few objects.,The passable area is mostly empty with few obstacles.,000164,pokemon_0172,0,region,,1.0,,,,
pk000165,The region is sparse.,The passable area is sparse.,000165,pokemon_0173,0,region,,1.0,,,,
pk000166,"The region has a decent amount of floors, grass, and water.",The region has a decent amount of passable area.,000166,pokemon_0174,0,region,,3.0,,,,
pk000167,The region has rare enemies.,The passable area is mostly open with few walls.,000167,pokemon_0175,0,region,,1.0,,,,
pk000168,Enemies are rare in the region.,Hazards are rare in the passable area.,000168,pokemon_0176,0,region,,1.0,,,,
pk000169,"The region has a decent mix of grass, water, and trees.",The passable area has a decent mix of terrain and walls.,000169,pokemon_0177,0,region,,4.0,,,,
pk000170,Regions are rare on this map.,Walkable areas are sparse on this map.,000170,pokemon_0178,0,region,,1.0,,,,
pk000171,A rare enemy appears in the region.,Passable areas are mostly open with rare hazards.,000171,pokemon_0179,0,region,,1.0,,,,
pk000172,Regions are limited here.,Passable areas are limited here.,000172,pokemon_0180,0,region,,2.0,,,,
pk000173,The region is scattered with enemies and objects.,The region is scattered with interactive and hazard tiles.,000173,pokemon_0181,0,region,,4.0,,,,
pk000174,The region has a few houses and objects.,The passable area has a few interactive tiles.,000174,pokemon_0182,0,region,,2.0,,,,
pk000175,The region has marginal enemies and objects.,The passable area has marginal enemies and objects.,000175,pokemon_0183,0,region,,1.0,,,,
pk000176,Few regions appear here.,The passable area is sparse.,000176,pokemon_0184,0,region,,1.0,,,,
pk000177,Some houses and fences appear in the region.,Some walls border the passable region.,000177,pokemon_0185,0,region,,2.0,,,,
pk000178,The region has few enemies.,The passable area has few hazards.,000178,pokemon_0186,0,region,,1.0,,,,
pk000179,Sparse grass and a few objects fill the region.,Sparse passable areas and few collectables fill the region.,000179,pokemon_0187,0,region,,1.0,,,,
pk000180,The region is moderate with scattered objects and enemies.,The passable area is moderate with scattered interactives and hazards.,000180,pokemon_0188,0,region,,4.0,,,,
pk000181,The region has limited floor and water.,The passable area is limited.,000181,pokemon_0190,0,region,,2.0,,,,
pk000182,The region is covered in trees.,The region is crowded with walls.,000182,pokemon_0191,0,region,,6.0,,,,
pk000183,The region is full of grass and trees.,The passable region is fairly expansive.,000183,pokemon_0192,0,region,,3.0,,,,
pk000184,The region has few enemies.,The passable region has few hazards.,000184,pokemon_0193,0,region,,1.0,,,,
pk000185,Regions are rare across the map.,Passable regions are rare here.,000185,pokemon_0194,0,region,,1.0,,,,
pk000186,Only a few houses mark this region.,Only a few passable tiles mark this region.,000186,pokemon_0195,0,region,,1.0,,,,
pk000187,Rare enemies appear in this region.,Hazards are rare in the passable region.,000187,pokemon_0196,0,region,,1.0,,,,
pk000188,The region has marginal roads.,The passable area is marginal.,000188,pokemon_0197,0,region,,1.0,,,,
pk000189,The region has little enemy presence.,The region has little hazard presence.,000189,pokemon_0198,0,region,,2.0,,,,
pk000190,The region has few houses and objects.,The passable area is sparse.,000190,pokemon_0199,0,region,,1.0,,,,
pk000191,The region is densely packed with houses.,The passable area is dense and fragmented.,000191,pokemon_0200,0,region,,8.0,,,,
pk000192,"The region has several houses, water, and trees.",The region has lots of passable area with few walls.,000192,pokemon_0201,0,region,,3.0,,,,
pk000193,The region is sparse and lightly populated.,The passable area is sparse and lightly connected.,000193,pokemon_0202,0,region,,1.0,,,,
pk000194,The region is sparse and mostly open grass.,The region is sparse and mostly passable.,000194,pokemon_0203,0,region,,0.0,,,,
pk000195,Rare houses appear in this region.,Passable space is rare in this region.,000195,pokemon_0204,0,region,,1.0,,,,
pk000196,The region is abundant with trees.,The passable area is scarce.,000196,pokemon_0205,0,region,,7.0,,,,
pk000197,This region has only a few enemies and objects.,This region has only a few interactive tiles.,000197,pokemon_0206,0,region,,1.0,,,,
pk000198,A marginal region has few houses.,The passable region is marginally divided by walls.,000198,pokemon_0207,0,region,,1.0,,,,
pk000199,The region has rare enemies and a few houses.,The region has sparse passable areas and rare walls.,000199,pokemon_0208,0,region,,1.0,,,,
pk000200,The region has few enemies.,The region has sparse interactive tiles.,000200,pokemon_0209,0,region,,1.0,,,,
pk000201,The region is slightly varied.,The passable area is slightly varied.,000201,pokemon_0210,0,region,,2.0,,,,
pk000202,The region is marked by numerous scattered enemies.,The passable region is heavily divided by walls.,000202,pokemon_0211,0,region,,5.0,,,,
pk000203,The region is filled with grass and fences.,The passable area is broad and open.,000203,pokemon_0213,0,region,,6.0,,,,
pk000204,Enemies are marginal across the region.,Walls are marginal in the region.,000204,pokemon_0214,0,region,,1.0,,,,
pk000205,The region has rare houses and a few objects.,The region is mostly passable with rare walls.,000205,pokemon_0215,0,region,,1.0,,,,
pk000206,A marginal region with a small central path.,A marginal passable area with a small central path.,000206,pokemon_0216,0,region,,1.0,,,,
pk000207,The region is filled with trees and grass.,The passable region is filled with wall and open areas.,000207,pokemon_0217,0,region,,6.0,,,,
pk000208,The region is mostly grass with rare houses and water.,The passable area is mostly open with rare walls.,000208,pokemon_0218,0,region,,1.0,,,,
pk000209,"The region is limited, with scattered houses and trees.","The passable area is limited, with scattered walls.",000209,pokemon_0219,0,region,,2.0,,,,
pk000210,A marginal region with a few houses.,A marginal passable area with a few walls.,000210,pokemon_0220,0,region,,1.0,,,,
pk000211,This region is lightly scattered with houses.,This passable area is slightly scattered with walls.,000211,pokemon_0221,0,region,,2.0,,,,
pk000212,"The region is filled with numerous houses, fences, and trees.",The passable region is filled with many structures and trees.,000212,pokemon_0222,0,region,,11.0,,,,
pk000213,Few houses dot the region.,Few passable areas dot the region.,000213,pokemon_0223,0,region,,2.0,,,,
pk000214,"The region has many walls, with few objects.","The region has many walls, with few collectables.",000214,pokemon_0224,0,region,,4.0,,,,
pk000215,A marginal region with few houses and enemies.,A marginal region with few hazards and collectibles.,000215,pokemon_0225,0,region,,1.0,,,,
pk000216,A marginal region with scattered objects and one enemy.,A marginal passable region with scattered collectables and one interactive.,000216,pokemon_0226,0,region,,1.0,,,,
pk000217,A marginal region is marked by few houses and objects.,A marginal region has a few interactive tiles.,000217,pokemon_0227,0,region,,1.0,,,,
pk000218,The region is dominated by dense water and houses.,The region is dominated by dense passable area.,000218,pokemon_0229,0,region,,7.0,,,,
pk000219,Objects are rare in this region.,Interactive tiles are rare in this region.,000219,pokemon_0230,0,region,,1.0,,,,
pk000220,Regions are sparse here.,Passable areas are sparse here.,000220,pokemon_0231,0,region,,1.0,,,,
pk000221,The region has several enemies and objects.,The passable area has several hazards.,000221,pokemon_0232,0,region,,3.0,,,,
pk000222,"The region has a reasonable mix of towns, paths, and grass.",The passable area has a reasonable mix of connected spaces and walls.,000222,pokemon_0233,0,region,,4.0,,,,
pk000223,A sparse region with few houses and enemies.,A sparse passable region with few hazards.,000223,pokemon_0234,0,region,,1.0,,,,
pk000224,"The region has a slight mix of houses, roads, and water.",The passable area has a slight mix with some walls.,000224,pokemon_0236,0,region,,2.0,,,,
pk000225,The region has rare enemies.,The region has scarce interactive areas.,000225,pokemon_0237,0,region,,1.0,,,,
pk000226,"The region is mostly sparse, with a few enemies.","The passable area is mostly sparse, with a few hazards.",000226,pokemon_0238,0,region,,1.0,,,,
pk000227,The region is plentiful.,The passable area is plentiful.,000227,pokemon_0239,0,region,,9.0,,,,
pk000228,The region is dotted with enemies.,The region is dense with passable areas.,000228,pokemon_0240,0,region,,4.0,,,,
pk000229,The region has little variety.,The passable area has little variety.,000229,pokemon_0241,0,region,,2.0,,,,
pk000230,The region has few towns.,The passable area is sparse.,000230,pokemon_0242,0,region,,1.0,,,,
pk000231,The region is dotted with a few objects.,The passable area is dotted with a few interactive tiles.,000231,pokemon_0243,0,region,,4.0,,,,
pk000232,The region has rare houses and enemies.,The passable area has rare interactive tiles and hazards.,000232,pokemon_0244,0,region,,1.0,,,,
pk000233,Enemies are rare in this region.,Hazards are rare in this region.,000233,pokemon_0245,0,region,,1.0,,,,
pk000234,The region has few objects and enemies.,The passable area has few interactives and hazards.,000234,pokemon_0246,0,region,,1.0,,,,
pk000235,Few houses are scattered here.,Few passable regions are scattered here.,000235,pokemon_0247,0,region,,1.0,,,,
pk000236,The region is sparse with few scattered features.,The walkable area is sparse with few scattered features.,000236,pokemon_0248,0,region,,1.0,,,,
pk000237,The region has limited variety.,The passable area is fairly limited.,000237,pokemon_0249,0,region,,2.0,,,,
pk000238,"The region is scattered with grass, trees, and a few enemies.",The passable area is scattered with some hazards and collectables.,000238,pokemon_0250,0,region,,3.0,,,,
pk000239,The region is a small cluster of floor.,The passable region is a small cluster.,000239,pokemon_0251,0,region,,2.0,,,,
pk000240,A sparse region with few houses and objects.,A sparse passable area with few obstacles.,000240,pokemon_0252,0,region,,1.0,,,,
pk000241,The region has sparse houses and trees.,The passable area is sparse with walls.,000241,pokemon_0253,0,region,,1.0,,,,
pk000242,"The region is plentiful with houses, trees, and water.",The passable region is plentiful with features and open space.,000242,pokemon_0255,0,region,,9.0,,,,
pk000243,The region is marginally present.,The passable area is marginally present.,000243,pokemon_0256,0,region,,1.0,,,,
pk000244,A marginal region with few houses and objects.,A marginal region with few interactive tiles.,000244,pokemon_0257,0,region,,1.0,,,,
pk000245,The region is packed with houses and doors.,The passable region is spread through walls.,000245,pokemon_0258,0,region,,7.0,,,,
pk000246,The region has few houses and objects.,The region has sparse passable areas.,000246,pokemon_0259,0,region,,1.0,,,,
